"racer_number","racer_name","racer_name_kana","branch","grade","period_year","period_half"
"3507","藤井徹","ﾄｵﾙ","阪","B1","2025","前期"
"3508","久富政弘","ﾏｻﾋﾛ","賀","B1","2025","前期"
"3509","池千夏","ﾅﾂ","川","B1","2025","前期"
"3514","山一鉄也","ﾃﾂﾔ","岡","B1","2025","前期"
"3516","吉原聖人","ｷﾖﾄ","島","B1","2025","前期"
"3517","高橋勲","ｲｻｵ","京","B1","2025","前期"
"3518","倉田郁美","ｲｸﾐ","岡","B1","2025","前期"
"3519","冨田秀幸","ﾋﾃﾞﾕｷ","知","B1","2025","前期"
"3523","寳田亮治","ﾞ ﾘｮｳｼﾞ","岡","B1","2025","前期"
"3527","中嶋誠一郎","ｾｲｲﾁﾛｳ","崎","B1","2025","前期"
"3528","笠野友紀恵","ﾕｷｴ","知","B1","2025","前期"
"3532","柴田光","ﾋｶﾙ","馬","B1","2025","前期"
"3535","渡修平","ｼｭｳﾍｲ","庫","B1","2025","前期"
"3538","菊池峰晴","ﾐﾈﾊﾙ","馬","B1","2025","前期"
"3539","金子順一","ｼﾞｭﾝｲﾁ","口","B1","2025","前期"
"3541","三嶌誠司","ｾｲｼﾞ","川","B1","2025","前期"
"3542","清水紀克","ﾉﾘｶﾂ","知","B1","2025","前期"
"3543","福田雅一","ﾏｻｶｽﾞ","川","B1","2025","前期"
"3544","豊田訓靖","ｸﾆﾔｽ","岡","B1","2025","前期"
"3546","中里昌志","ﾏｻｼ","玉","B1","2025","前期"
"3548","室田泰史","ﾔｽﾌﾐ","井","B1","2025","前期"
"3550","都築正治","ﾏｻﾊﾙ","知","B1","2025","前期"
"3551","藤田美代","ﾐﾖ","岡","B1","2025","前期"
"3553","平池仁志","ﾋﾄｼ","川","B1","2025","前期"
"3554","仲口博崇","ﾁ ﾋﾛﾀｶ","知","B1","2025","前期"
"3556","田中信一郎","ｼﾝｲﾁﾛｳ","阪","B1","2025","前期"
"3557","太田和美","ｶｽﾞﾐ","阪","B1","2025","前期"
"3558","山本浩次","ｺｳｼﾞ","山","B1","2025","前期"
"3562","山下和彦","ｶｽﾞﾋｺ","島","B1","2025","前期"
"3563","堤昇","ﾉﾎﾞﾙ","岡","B1","2025","前期"
"3564","桑原啓","ｱｷﾗ","岡","B1","2025","前期"
"3566","川添英正","ｴ ﾋﾃﾞﾏｻ","岡","B1","2025","前期"
"3567","吉岡誠","ﾏｺﾄ","口","B1","2025","前期"
"3568","木村光宏","ﾐﾂﾋﾛ","川","B1","2025","前期"
"3569","増田進","ｽｽﾑ","京","B1","2025","前期"
"3572","安田政彦","ﾏｻﾋｺ","庫","B1","2025","前期"
"3574","大神康司","ﾐ ｺｳｼﾞ","岡","B1","2025","前期"
"3576","白水勝也","ﾞ ｶﾂﾔ","岡","B1","2025","前期"
"3577","向所浩二","ﾞｮ ｺｳｼﾞ","庫","B1","2025","前期"
"3578","塩田雄一","ﾕｳｲﾁ","川","B1","2025","前期"
"3579","中里優子","ﾕｳｺ","玉","B1","2025","前期"
"3580","水口由紀","ﾕｷ","賀","B1","2025","前期"
"3581","加木郁","ｶｵﾙ","口","B1","2025","前期"
"3582","吉川昭男","ｱｷｵ","賀","B1","2025","前期"
"3583","齋藤智裕","ﾄﾓﾋﾛ","玉","B1","2025","前期"
"3584","佐木英樹","ﾋﾃﾞｷ","島","B1","2025","前期"
"3587","武田信一","ｼﾝｲﾁ","島","B1","2025","前期"
"3589","西村勝","ﾏｻﾙ","玉","B1","2025","前期"
"3590","濱野谷憲吾","ｹﾝｺﾞ","京","B1","2025","前期"
"3591","後藤孝義","ﾀｶﾖｼ","岡","B1","2025","前期"
"3593","横井光弘","ﾐﾂﾋﾛ","崎","B1","2025","前期"
"3596","河上年昭","ﾄｼｱｷ","玉","B1","2025","前期"
"3600","玄馬徹","ﾞ ﾄｵﾙ","山","B1","2025","前期"
"3602","奥平拓也","ｲﾗ ﾀｸﾔ","京","B1","2025","前期"
"3604","武藤綾子","ｱﾔｺ","岡","B1","2025","前期"
"3605","中村守成","ﾓﾘｼｹﾞ","重","B1","2025","前期"
"3606","川北浩貴","ﾋﾛﾀｶ","賀","B1","2025","前期"
"3607","原田智和","ﾄﾓｶｽﾞ","阪","B1","2025","前期"
"3611","岩崎芳美","ﾖｼﾐ","島","B1","2025","前期"
"3612","馬袋義則","ﾖｼﾉﾘ","庫","B1","2025","前期"
"3613","角谷健吾","ｹﾝｺﾞ","京","B1","2025","前期"
"3614","谷勝幸","ﾂﾕｷ","島","B1","2025","前期"
"3615","横田茂","ｼｹﾞﾙ","島","B1","2025","前期"
"3616","中村真","ﾏｺﾄ","岡","B1","2025","前期"
"3617","竹田広樹","ﾋﾛｷ","賀","B1","2025","前期"
"3618","海野ゆかり","ﾕｶﾘ","島","B1","2025","前期"
"3619","長谷川充","ﾜ ﾐﾂﾙ","馬","B1","2025","前期"
"3620","信濃由行","ﾖｼﾕｷ","井","B1","2025","前期"
"3621","天野晶夫","ｱｷｵ","知","B1","2025","前期"
"3623","深川真二","ﾜ ｼﾝｼﾞ","賀","B1","2025","前期"
"3627","井上恵一","ｹｲｲﾁ","岡","B1","2025","前期"
"3629","浅見昌克","ﾏｻｶﾂ","玉","B1","2025","前期"
"3630","黒田誠司","ｾｲｼﾞ","岡","B1","2025","前期"
"3631","田添康介","ｺｳｽｹ","崎","B1","2025","前期"
"3635","石田政吾","ｾｲｺﾞ","井","B1","2025","前期"
"3637","齋藤和政","ｶｽﾞﾏｻ","知","B1","2025","前期"
